"","Species","SampleID","Latitude","Longitude","Elevation","SampleDate","Site","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","Stem_diameter","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"52","Salix richardsonii","KPSR02",60.9701,138.41283,1581,2022-08-13,"Kluane",137,124,120,110,90,130,51,59,45,51,NA,110,51.6666666666667,122
"53","Salix richardsonii","KPSR03",60.97012,138.41273,1581,2022-08-13,"Kluane",150,186,160,260,110,170,56,48,53,86,NA,180,52.3333333333333,173
"54","Salix richardsonii","KPSR04",60.97005,138.41264,1582,2022-08-13,"Kluane",150,180,137,165,150,160,53,47,40,55,NA,158.333333333333,46.6666666666667,158.5
"55","Salix richardsonii","KPSR05",60.97005,138.41322,1582,2022-08-13,"Kluane",63,180,185,106,102,200,52,56,51,43,NA,136,53,182.5
"56","Salix richardsonii","KPSR06",60.97198,138.41141,1550,2022-08-13,"Kluane",160,259,220,230,170,240,53,57,55,154,NA,213.333333333333,55,239.5
"57","Salix richardsonii","KPSR07",60.97199,138.41205,1547,2022-08-13,"Kluane",170,174,158,150,170,140,57,48,51,35,NA,153.333333333333,52,166
"58","Salix richardsonii","KPSR08",60.97193,138.412,1550,2022-08-13,"Kluane",165,245,235,40,65,130,50,65,52,49,NA,78.3333333333333,55.6666666666667,240
"59","Salix richardsonii","KPSR09",60.97213,138.41197,1546,2022-08-13,"Kluane",87,75,70,69,35,33,40,37,36,27,NA,45.6666666666667,37.6666666666667,72.5
"60","Salix richardsonii","KPSR10",60.97151,138.411,1555,2022-08-13,"Kluane",129,192,163,90,100,140,66,45,62,36,NA,110,57.6666666666667,177.5
"61","Salix pulchra","KPSP01",60.9702,138.41289,1580,NA,"Kluane",195,285,168,47,23,44,74,54,57,122,NA,38,61.6666666666667,226.5
"62","Salix pulchra","KPSP02",60.9701,138.4128,1581,NA,"Kluane",152,118,98,132,111,124,77,70,55,43,NA,122.333333333333,67.3333333333333,108
"63","Salix pulchra","KPSP03",60.97008,138.4127,1582,NA,"Kluane",155,125,220,66,104,160,50,48,46,41,NA,110,48,172.5
"64","Salix pulchra","KPSP04",60.97015,138.41316,1580,NA,"Kluane",174,179,130,86,106,85,58,62,45,46,NA,92.3333333333333,55,154.5
"65","Salix pulchra","KPSP05",60.96988,138.41269,1583,NA,"Kluane",176,286,255,102,76,107,58,53,65,48,NA,95,58.6666666666667,270.5
"66","Salix pulchra","KPSP06",60.97185,138.41124,1552,NA,"Kluane",177,153,190,95,70,77,63,47,63,52,NA,80.6666666666667,57.6666666666667,171.5
"67","Salix pulchra","KPSP07",60.97206,138.41098,1549,NA,"Kluane",83,99,123,33,105,104,55,62,55,20,NA,80.6666666666667,57.3333333333333,111
"68","Salix pulchra","KPSP08",60.97199,138.41196,1547,NA,"Kluane",123,167,175,50,28,57,51,40,43,34,NA,45,44.6666666666667,171
"69","Salix pulchra","KPSP09",60.972,138.41205,1548,NA,"Kluane",157,203,145,55,124,141,68,62,67,56,NA,106.666666666667,65.6666666666667,174
"70","Salix pulchra","KPSP10",60.97153,138.41092,1553,NA,"Kluane",66,96,107,34,35,19,49,60,48,16,NA,29.3333333333333,52.3333333333333,101.5
"71","Salix richardsonii","KPSR01",60.97015,138.41283,1581,NA,"Kluane",143,154,109,46,54,86,44,55,48,52,NA,62,49,131.5
"72","Salix richardsonii","KPSR02",60.9701,138.41283,1581,NA,"Kluane",125.5,110,164,51,82,75,38,61,49,40,NA,69.3333333333333,49.3333333333333,137
"73","Salix richardsonii","KPSR03",60.97012,138.41273,1581,NA,"Kluane",145,200,154,75,60,46,53,45,53,65,NA,60.3333333333333,50.3333333333333,177
"74","Salix richardsonii","KPSR04",60.97005,138.41264,1582,NA,"Kluane",140,139,144,108,160,155,43,41,38,57,NA,141,40.6666666666667,141.5
"75","Salix richardsonii","KPSR05",60.97005,138.41322,1582,NA,"Kluane",155.2,171,184,80,137,170,55,50,48,46,NA,129,51,177.5
"76","Salix richardsonii","KPSR06",60.97198,138.41141,1550,NA,"Kluane",132,236,242,120,138,160,51,56,38,67,NA,139.333333333333,48.3333333333333,239
"77","Salix richardsonii","KPSR07",60.97199,138.41205,1547,NA,"Kluane",159,163,173,141,124,75,43,53,55,46,NA,113.333333333333,50.3333333333333,168
"78","Salix richardsonii","KPSR08",60.97193,138.412,1550,NA,"Kluane",171,245,221,80,45,100,45,48,58,46,NA,75,50.3333333333333,233
"79","Salix richardsonii","KPSR09",60.97213,138.41197,1546,NA,"Kluane",84.5,81,73,37,47,31,42,44,37,24,NA,38.3333333333333,41,77
"80","Salix richardsonii","KPSR10",60.97151,138.411,1555,NA,"Kluane",113,210,147,94,136,95,52,56,53,33,NA,108.333333333333,53.6666666666667,178.5
"81","Salix pulchra","KPSP01",60.9702,138.41289,1580,NA,"Kluane",204,315,210,105,150,135,59,74,81,210,NA,130,71.3333333333333,262.5
"82","Salix pulchra","KPSP02",60.9701,138.4128,1581,NA,"Kluane",159,111,112,165,150,120,53,47,75,51,NA,145,58.3333333333333,111.5
"83","Salix pulchra","KPSP03",60.97008,138.4127,1582,NA,"Kluane",150,220,198,180,140,160,51,49,61,42,NA,160,53.6666666666667,209
"84","Salix pulchra","KPSP04",60.97015,138.41316,1580,NA,"Kluane",183,220,180,170,165,180,61,70,71,41,NA,171.666666666667,67.3333333333333,200
"85","Salix pulchra","KPSP05",60.96988,138.41269,1583,NA,"Kluane",175,262,282,110,140,130,60,42,56,49,NA,126.666666666667,52.6666666666667,272
"86","Salix pulchra","KPSP06",60.97185,138.41124,1552,NA,"Kluane",181,160,218,120,95,110,66,59,55,44,NA,108.333333333333,60,189
"87","Salix pulchra","KPSP07",60.97206,138.41098,1549,NA,"Kluane",83,125,105,135,160,60,58,71,56,25,NA,118.333333333333,61.6666666666667,115
"88","Salix pulchra","KPSP08",60.97199,138.41196,1547,NA,"Kluane",132,184,193,240,200,100,52,49,45,35,NA,180,48.6666666666667,188.5
"89","Salix pulchra","KPSP09",60.972,138.41205,1548,NA,"Kluane",169,212,180,200,180,160,73,54,66,82,NA,180,64.3333333333333,196
"90","Salix pulchra","KPSP10",60.97153,138.41092,1553,NA,"Kluane",67,100,97,110,90,60,52,44,45,15,NA,86.6666666666667,47,98.5
"91","Salix richardsonii","KPSR01",60.97015,138.41283,1581,NA,"Kluane",147,160,120,115,120,80,53,52,49,56,NA,105,51.3333333333333,140
"92","Salix richardsonii","KPSR02",60.9701,138.41283,1581,NA,"Kluane",128,171,118,95,145,125,50,48,53,40,NA,121.666666666667,50.3333333333333,144.5
"93","Salix richardsonii","KPSR03",60.97012,138.41273,1581,NA,"Kluane",151,173,178,130,165,100,47,41,49,60,NA,131.666666666667,45.6666666666667,175.5
"94","Salix richardsonii","KPSR04",60.97005,138.41264,1582,NA,"Kluane",141,135,141,120,130,115,47,48,50,50,NA,121.666666666667,48.3333333333333,138
"95","Salix richardsonii","KPSR05",60.97005,138.41322,1582,NA,"Kluane",154,191,196,150,200,195,50,45,54,41,NA,181.666666666667,49.6666666666667,193.5
"96","Salix richardsonii","KPSR06",60.97198,138.41141,1550,NA,"Kluane",149,236,249,47,63,130,49,55,48,170,NA,80,50.6666666666667,242.5
"97","Salix richardsonii","KPSR07",60.97199,138.41205,1547,NA,"Kluane",171,161,142,260,290,345,55,61,60,40,NA,298.333333333333,58.6666666666667,151.5
"98","Salix richardsonii","KPSR08",60.97193,138.412,1550,NA,"Kluane",172,236,240,140,129,73,61,52,40,58,NA,114,51,238
"99","Salix richardsonii","KPSR09",60.97213,138.41197,1546,NA,"Kluane",84.5,64,72,49,25,24,36,42,39,25,NA,32.6666666666667,39,68
"100","Salix richardsonii","KPSR10",60.97151,138.411,1555,NA,"Kluane",118,191,152,55,140,140,65,63,66,35,NA,111.666666666667,64.6666666666667,171.5
